id,title,in_stock,price,players,age,maker,bbg_url,url
1497488122,Nanty Narking. Великі сподівання (укр.),В наявності,1650.0,2-4,14+,Нова Ера,https://boardgamegeek.com/boardgame/249746/nanty-narking,https://gameland.com.ua/nanty-narking.-veliki-spodivannya-ukr./
1497490289,Битва ресторанів (Rival Restaurants),В наявності,1838.0,2-6,10+,Нова Ера,https://boardgamegeek.com/boardgame/262114/rival-restaurants,https://gameland.com.ua/bytva-restoraniv-rival-restaurants/
1497490961,Стамбул. Повне видання (Istanbul: Big Box),В наявності,1838.0,2-5,10+,Нова Ера,https://boardgamegeek.com/boardgame/251219/istanbul-big-box,https://gameland.com.ua/stambul.-povne-vydannia-istanbul-big-box/
1458100540,МікроМакро: Вбивче місто (MicroMacro: Crime City) (укр.),В наявності,900.0,1-4,10+,Нова Ера,https://boardgamegeek.com/boardgame/318977/micromacro-crime-city,https://gameland.com.ua/mikromakro-vbivche-misto-ukr./
1497491171,МікроМакро: Вбивче місто — Ва-банк (MicroMacro: Crime City – All In),В наявності,900.0,1-4,12+,Нова Ера,https://boardgamegeek.com/boardgame/364766/micromacro-crime-city-all-in,https://gameland.com.ua/mikromakro-vbyvche-misto-va-bank-micromacro-crime-city-all-in/
1497489964,Вище суспільство (High Society) (укр.),В наявності,480.0,3-5,10+,Нова Ера,https://boardgamegeek.com/boardgame/220/high-society,https://gameland.com.ua/vyshche-suspilstvo-high-society/
1497488675,під замовлення,В наявності,1.0,1-10,,,,https://gameland.com.ua/nastilna-gra-pid-zamovlennya/
1497490163,Новий ковчег (Ark Nova),В наявності,3199.0,1-4,14+,IGAMES,https://boardgamegeek.com/boardgame/342942/ark-nova,https://gameland.com.ua/novyi-kovcheh-ark-nova/
1497491010,Гра престолів. Друге видання (A Game of Thrones: The Board Game Second Edition),В наявності,2750.0,3-6,13+,Geekach,https://boardgamegeek.com/boardgame/103343/game-thrones-board-game-second-edition,https://gameland.com.ua/hra-prestoliv.-druhe-vydannia-a-game-of-thrones-the-board-game-second-edition/
1497487989,Цей дивовижний світ (It's a Wonderful World) (укр.),В наявності,1820.0,1-5,14+,Kilogames,https://boardgamegeek.com/boardgame/271324/its-wonderful-world,https://gameland.com.ua/tsey-bozhevilniy-svit-its-a-wonderful-world-ukr./
1497489225,Битва за Дивокрай (Wonderland's War),В наявності,3125.0,2-5,13+,Rozum,https://boardgamegeek.com/boardgame/227935/wonderlands-war,https://gameland.com.ua/wonderlands-war/
1497488009,Star Wars. Зовнішнє кільце (Star Wars Outer Rim) (укр.),В наявності,3950.0,1-4,14+,Kilogames,https://boardgamegeek.com/boardgame/271896/star-wars-outer-rim,https://gameland.com.ua/star-wars.-zovnishnie-kiltse-star-wars-outer-rim-ukr./
1497490254,Шериф Ноттінгема (Sheriff of Nottingham),В наявності,1890.0,3-6,14+,Games 7 Days,https://boardgamegeek.com/boardgame/298638/sheriff-nottingham-2nd-edition,https://gameland.com.ua/sheryf-nottinhema-sheriff-of-nottingham/
1497488178,"Unmatched: Битва легенд. Частина перша (Unmatched: Battle of Legends, Volume One)",В наявності,1680.0,2-4,8+,Geekach,https://boardgamegeek.com/boardgame/274637/unmatched-battle-legends-volume-one,https://gameland.com.ua/unmatched-bitva-legend.-chastina-persha/
1497488447,Сутінки імперії. Четверте видання (Twilight Imperium: Fourth Edition),В наявності,7250.0,3-6,14+,Geekach,https://boardgamegeek.com/boardgame/233078/twilight-imperium-fourth-edition,https://gameland.com.ua/sutinki-imperii.-chetverte-vidannya/
1497489706,Остання ніч: Перевертні (One Night Ultimate Werewolf),В наявності,640.0,3-10,8+,Games 7 Days,https://boardgamegeek.com/boardgame/147949/one-night-ultimate-werewolf,https://gameland.com.ua/ostannia-nich-perevertni-one-night-ultimate-werewolf/
1497488926,Під полум'ям небес (Under Falling Skies),В наявності,1200.0,1,12+,Kilogames,https://boardgamegeek.com/boardgame/306735/under-falling-skies,https://gameland.com.ua/pid-polumyam-nebes/
1497490090,Нідавеллір (Nidavellir),В наявності,1600.0,2-5,10+,Woodcat,https://boardgamegeek.com/boardgame/293014/nidavellir,https://gameland.com.ua/nidavellir-nidavellir/3652/
1497489558,Deal with the Devil,В наявності,2138.0,4,14+,CGE,https://boardgamegeek.com/boardgame/367379/deal-devil,https://gameland.com.ua/deal-with-the-devil/
1497489592,"Проєкт ""Гая"" (Gaia Project)",В наявності,3995.0,1-4,12+,IGAMES,https://boardgamegeek.com/boardgame/220308/gaia-project,https://gameland.com.ua/gaia-project-proekt-haiia/
1497488438,Розкіш Marvel (Splendor Marvel),В наявності,1590.0,2-4,10+,Asmodee,https://boardgamegeek.com/boardgame/293296/splendor-marvel,https://gameland.com.ua/rozkish-marvel/
1497490087,Лють крові (Blood Rage),В наявності,3780.0,2-4,14+,Geekach,https://boardgamegeek.com/boardgame/170216/blood-rage,https://gameland.com.ua/lіut-krovi-blood-rage/
1497489228,Акрополіс (Akropolis),В наявності,1200.0,2-4,8+,Woodcat,https://boardgamegeek.com/boardgame/357563/akropolis,https://gameland.com.ua/akropolis/
1497491641,Край Андромеди (Andromeda's Edge),В наявності,3150.0,2-4,14+,Games 7 Days,https://boardgamegeek.com/boardgame/358661/andromedas-edge,https://gameland.com.ua/krai-andromedy-andromedas-edge/
1497490522,Кримінальні хроніки: 1400 (Chronicles of Crime: 1400),В наявності,1199.0,1-4,14+,Ігромаг,https://boardgamegeek.com/boardgame/300300/chronicles-crime-1400,https://gameland.com.ua/kryminalni-khroniky-1400-chronicles-of-crime-1400/
1497488832,Маєтки божевілля (Mansions of Madness Second Edition),В наявності,4550.0,1-5,14+,Geekach,https://boardgamegeek.com/boardgame/205059/mansions-madness-second-edition,https://gameland.com.ua/mansions-of-madness-second-edition/
1497489737,Війна Персня. Карткова гра (War of the Ring: The Card Game),В наявності,1750.0,2-4,12+,Geekach,https://boardgamegeek.com/boardgame/362944/war-ring-card-game,https://gameland.com.ua/viina-persnia.-kartkova-hra-war-of-the-ring-the-card-game-peredzamovlennia/
1497491314,Орлеан (Orleans),В наявності,2120.0,2-5,12+,Games 7 Days,https://boardgamegeek.com/boardgame/164928/orleans,https://gameland.com.ua/orlean-orlean/
1497491458,ISS Vanguard,В наявності,8495.0,1-4,14+,Ігромаг,https://boardgamegeek.com/boardgame/325494/iss-vanguard,https://gameland.com.ua/iss-vanguard/
1497490213,Сяйво (Glow),В наявності,1595.0,1-4,10+,IGAMES,https://boardgamegeek.com/boardgame/275044/glow,https://gameland.com.ua/siaivo-glow/
1497489604,Петля (The Loop),В наявності,1990.0,1-4,12+,Geekach,https://boardgamegeek.com/boardgame/316412/loop,https://gameland.com.ua/petlia-the-loop/
1497489173,Порт-Роял. Повне видання + промонабір (Port Royal: Big Box),В наявності,1090.0,1-5,8+,Lord Of Boards,https://boardgamegeek.com/boardgame/331265/port-royal-big-box,https://gameland.com.ua/port-royal.-povne-vidannya/
