id,title,in_stock,price,players,age,maker,bbg_url,url
GKCH221ti,Сутінки імперії. Четверте видання (Twilight Imperium: Fourth Edition),В наявності,7250.0,3 - 6,14+,Geekach,,https://geekach.com.ua/sutinky-imperii.-chetverte-vydannia-twilight-imperium-fourth-edition/
GKCH206PD,Відьмак. Шлях призначення - Делюкс (The Witcher: Path of Destiny - Deluxe),В наявності,3950.0,1 - 5,14+,Geekach,,https://geekach.com.ua/vidmak.-shliakh-pryznachennia-the-witcher-path-of-destiny/
GKCH206PD,Відьмак. Шлях призначення - Делюкс SHADED (The Witcher: Path of Destiny - Deluxe),В наявності,4450.0,1 - 5,14+,Geekach,,https://geekach.com.ua/vidmak.-shliakh-pryznachennia-deliuks-shaded-the-witcher-path-of-destiny-deluxe/
GKCH028VP,Війна Персня (War of the Ring),В наявності,3890.0,2 - 4,13+,Geekach,,https://geekach.com.ua/viyna-persnya-war-of-the-ring-voyna-koltsa-ukr/
GKCH187gt,Гра престолів. Друге видання (A Game of Thrones: The Board Game Second Edition),В наявності,2950.0,3 - 6,13+,Geekach,,https://geekach.com.ua/hra-prestoliv.-druhe-vydannia-a-game-of-thrones-the-board-game/
GKCH151BR,Лють крові (Blood Rage),В наявності,3780.0,2 - 4,14+,Geekach,,https://geekach.com.ua/liut-krovi-blood-rage/
GKCH229cs,Кіклади. Легендарне видання (Cyclades: Legendary Edition),В наявності,3250.0,2 - 6,13+,Geekach,,https://geekach.com.ua/kiklady.-lehendarne-vydannia-cyclades-legendary-edition/
GKCH064BK,Королівство кроликів (Bunny Kingdom),В наявності,2150.0,2 - 4,12+,Geekach,,https://geekach.com.ua/korolevstvo-krolikov-bunny-kingdom/
GKCH095M,Маєтки божевілля (Mansions of Madness Second Edition),В наявності,4550.0,1 - 5,14+,Geekach,,https://geekach.com.ua/maietky-bozhevillia-mansions-of-madness-second-edition/
GKCH008,Дюна: Імперіум (Dune: Imperium),В наявності,2650.0,1 - 4,14+,Geekach,,https://geekach.com.ua/duna-imperium-ukr-dune-imperium/
GKCH009UM,Утрачені моря. Перехрестя пригод (Forgotten Waters),В наявності,2590.0,1 - 7,14+,Geekach,,https://geekach.com.ua/utracheni-morya-forgotten-waters-zabytye-morya-ukr/
GKCH019KT,Кемет: Кров і пісок (Kemet: Blood and Sand),В наявності,3350.0,2 - 5,13+,Geekach,,https://geekach.com.ua/kemet-krov-i-pesok-kemet-blood-and-sand/
GKCH143Z2E,Зомбіцид. Друга редакція (Zombicide: 2nd Edition),В наявності,4600.0,1 - 6,14+,Geekach,,https://geekach.com.ua/zombitsyd.-druha-redaktsiia/
GKCH043DS,Дюна. Таємниці Домів (Dune: House Secrets),В наявності,1710.0,1 - 4,14+,Geekach,,https://geekach.com.ua/duna.-taiemnitsi-domu-dune-house-secrets/
GKCH052TL,Петля (The Loop),В наявності,1990.0,1 - 4,12+,Geekach,,https://geekach.com.ua/petlya-the-loop/
GKCH065DS,Distilled. Таємниці напоїв,В наявності,3450.0,1 - 5,14+,Geekach,,https://geekach.com.ua/distilled.-taiemnitsi-napoiv/
GKCH100OL,Ольтре (Oltréé) + промо,В наявності,2800.0,2 - 4,10+,Geekach,,https://geekach.com.ua/oltre-oltree/
