id,title,in_stock,price,players,age,maker,url
W0049,Селестія. Повне видання,В наявності,1800.0,2–6,8+,Woodcat,https://woodcat.com.ua/nastilna-hra-selestiia.-povne-vydannia/
W0047,Котики Кіото (Kyoto no Neko),В наявності,1494.0,2–4,8+,Woodcat,https://woodcat.com.ua/nastilna-hra-kotyky-kioto-kyoto-no-neko/
W0044,Сучасне Мистецтво,В наявності,1300.0,3–5,14+,Woodcat,https://woodcat.com.ua/nastilna-hra-suchasne-mystetstvo/
W0051,Таємничі історії: справа 1 (Hidden Games: Ідеальний план ),В наявності,1079.0,1–6,14+,Woodcat,https://woodcat.com.ua/nastilna-hra-taiemnychi-istorii-sprava-1/
W0017,Арборетум (Arboretum),В наявності,490.0,2–4,8+,Woodcat,https://woodcat.com.ua/arboretum/
W0033,Італійські розслідування: Завіса падає (Murder Party Pocket: The Curtain Falls),В наявності,440.0,1–6,12+,Woodcat,https://woodcat.com.ua/nastilna-hra-italiiski-rozsliduvannia-zavisa-padaie-murder-party-pocket-the-curtain-falls/1043/
W0005,Quetzal (Кецаль),В наявності,1200.0,2–5,10+,Woodcat,https://woodcat.com.ua/quetzal/
W0034,Італійські розслідування: Смертельний гріх (Murder Party Pocket: Deadly Sin),В наявності,440.0,1–6,12+,,https://woodcat.com.ua/nastilna-hra-italiiski-rozsliduvannia-smertelnyi-hrikh-murder-party-pocket-deadly-sin/
W0048,Keyflower,В наявності,1700.0,2-6,12+,Woodcat,https://woodcat.com.ua/keyflower/
W0040,Руни (Rune),В наявності,280.0,2–3,7+,Woodcat,https://woodcat.com.ua/nastilna-hra-runy-rune/
W0041,Небокрай (Faraway),В наявності,706.0,2–6,10+,Woodcat,https://woodcat.com.ua/nastilna-hra-nebokrai-faraway/
W0042,Котожахастики (Cat Horror Festival),В наявності,460.0,2–4,8+,Woodcat,https://woodcat.com.ua/kotozhakhastyky/
W0039,Діма (Dany),Передзамовлення,850.0,3–8,16+,Woodcat,https://woodcat.com.ua/dima/
W0016,Легенди Дикого Заходу (Western Legends),В наявності,2990.0,2–6,14+,Woodcat,https://woodcat.com.ua/nastilna-hra-lehendy-dykoho-zakhodu-western-legends/
W0035,Після нас (After us),В наявності,1750.0,1–6,10+,Woodcat,https://woodcat.com.ua/after-us/
W0032,Дотепні лінії (Broad Lines),В наявності,850.0,3–8,7+,Woodcat,https://woodcat.com.ua/nastilna-hra-dotepni-linii-broad-lines/
W0036,Повітряні Змії (Kites),В наявності,706.0,2–6,10+,Woodcat,https://woodcat.com.ua/zmii/
W0023,Гребля (Barrage),В наявності,2905.0,1–4,14+,Woodcat,https://woodcat.com.ua/nastilna-hra-hreblia-barrage/
W0013,Magic Maze (Меджик Мейз),В наявності,1300.0,1–8,8+,Woodcat,https://woodcat.com.ua/magic-maze/
W0022,Акрополіс (Akropolis),В наявності,1200.0,1–4,8+,Woodcat,https://woodcat.com.ua/akropolis/
W0049,Селестія. Повне видання,В наявності,1800.0,2–6,8+,Woodcat,https://woodcat.com.ua/nastilna-hra-selestiia.-povne-vydannia/
W0047,Котики Кіото (Kyoto no Neko),В наявності,1494.0,2–4,8+,Woodcat,https://woodcat.com.ua/nastilna-hra-kotyky-kioto-kyoto-no-neko/
W0044,Сучасне Мистецтво,В наявності,1300.0,3–5,14+,Woodcat,https://woodcat.com.ua/nastilna-hra-suchasne-mystetstvo/
W0051,Таємничі історії: справа 1 (Hidden Games: Ідеальний план ),В наявності,1079.0,1–6,14+,Woodcat,https://woodcat.com.ua/nastilna-hra-taiemnychi-istorii-sprava-1/
W0017,Арборетум (Arboretum),В наявності,490.0,2–4,8+,Woodcat,https://woodcat.com.ua/arboretum/
W0033,Італійські розслідування: Завіса падає (Murder Party Pocket: The Curtain Falls),В наявності,440.0,1–6,12+,Woodcat,https://woodcat.com.ua/nastilna-hra-italiiski-rozsliduvannia-zavisa-padaie-murder-party-pocket-the-curtain-falls/1043/
